Experiment: 20241008_iDEC_PANCE_DAY4  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	30.70		0	
True	255	A2	Sample 2	32.50		0	
True	255	A3	Sample 3	32.80		0	
True	255	A4	Sample 4	32.26		0	
True	255	A5	Sample 5	33.63		0	
True	255	A6	Sample 6	31.97		0	
True	255	A7	Sample 7	33.50		0	
True	255	A8	Sample 8	33.03		0	
True	255	A9	Sample 9	24.46		0	
True	255	A10	Sample 10	24.68		0	
True	255	A11	Sample 11	22.88		0	
True	255	A12	Sample 12	22.90		0	
True	255	A13	Sample 13	32.68		0	
True	255	A14	Sample 14	31.56		0	
True	255	A15	Sample 15	33.28		0	
True	255	A16	Sample 16	32.20		0	
True	255	A17	Sample 17	33.24		0	
True	255	A18	Sample 18	31.63		0	
True	255	A19	Sample 19	33.19		0	
True	255	A20	Sample 20	33.25		0	
True	255	A21	Sample 21	16.57		0	
True	255	A22	Sample 22	16.66		0	
True	255	A23	Sample 23	15.73		0	
True	255	A24	Sample 24	16.29		0	
True	255	B1	Sample 25	33.27		0	
True	255	B2	Sample 26	33.33		0	
True	255	B3	Sample 27	32.91		0	
True	255	B4	Sample 28	33.21		0	
True	255	B5	Sample 29	32.59		0	
True	255	B6	Sample 30	32.75		0	
True	255	B7	Sample 31	33.03		0	
True	255	B8	Sample 32	33.83		0	
True	255	B9	Sample 33	25.82		0	
True	255	B10	Sample 34	25.65		0	
True	255	B11	Sample 35	32.32		0	
True	255	B12	Sample 36	28.60		0	
True	255	B13	Sample 37	32.96		0	
True	255	B14	Sample 38	32.89		0	
True	255	B15	Sample 39	33.54		0	
True	255	B16	Sample 40	33.63		0	
True	255	B17	Sample 41	33.67		0	
True	255	B18	Sample 42	33.22		0	
True	255	B19	Sample 43	33.03		0	
True	255	B20	Sample 44	33.05		0	
True	255	B21	Sample 45	19.02		0	
True	255	B22	Sample 46	18.95		0	
True	255	B23	Sample 47	18.32		0	
True	255	B24	Sample 48	18.73		0	
True	255	C1	Sample 49	32.07		0	
True	255	C2	Sample 50	32.33		0	
True	255	C3	Sample 51	33.20		0	
True	255	C4	Sample 52	32.71		0	
True	255	C5	Sample 53	32.85		0	
True	255	C6	Sample 54	33.16		0	
True	255	C7	Sample 55	32.34		0	
True	255	C8	Sample 56	32.95		0	
True	255	C9	Sample 57	32.71		0	
True	255	C10	Sample 58	29.81		0	
True	255	C11	Sample 59	28.99		0	
True	255	C12	Sample 60	29.23		0	
True	255	C13	Sample 61	33.65		0	
True	255	C14	Sample 62	33.14		0	
True	255	C15	Sample 63	33.12		0	
True	255	C16	Sample 64	32.50		0	
True	255	C17	Sample 65	33.56		0	
True	255	C18	Sample 66	33.27		0	
True	255	C19	Sample 67	33.54		0	
True	255	C20	Sample 68	33.54		0	
True	255	C21	Sample 69	21.11		0	
True	255	C22	Sample 70	20.63		0	
True	255	C23	Sample 71	22.26		0	
True	255	C24	Sample 72	22.25		0	
True	255	D1	Sample 73	33.23		0	
True	255	D2	Sample 74	31.61		0	
True	255	D3	Sample 75	32.89		0	
True	255	D4	Sample 76	33.48		0	
True	255	D5	Sample 77	32.98		0	
True	255	D6	Sample 78	33.51		0	
True	255	D7	Sample 79	33.52		0	
True	255	D8	Sample 80	33.48		0	
True	255	D9	Sample 81	25.92		0	
True	255	D10	Sample 82	32.70		0	
True	255	D11	Sample 83	33.65		0	
True	255	D12	Sample 84	32.71		0	
True	255	D13	Sample 85	33.32		0	
True	255	D14	Sample 86	33.29		0	
True	255	D15	Sample 87	33.66		0	
True	255	D16	Sample 88	32.92		0	
True	255	D17	Sample 89	33.12		0	
True	255	D18	Sample 90	33.60		0	
True	255	D19	Sample 91	32.87		0	
True	255	D20	Sample 92	33.43		0	
True	255	D21	Sample 93	33.04		0	
True	255	D22	Sample 94	33.43		0	
True	255	D23	Sample 95	32.94		0	
True	255	D24	Sample 96	33.22		0	
True	255	E1	Sample 97	32.81		0	
True	255	E2	Sample 98	33.10		0	
True	255	E3	Sample 99	30.34		0	
True	255	E4	Sample 100	33.04		0	
True	255	E5	Sample 101	29.60		0	
True	255	E6	Sample 102	33.02		0	
True	255	E7	Sample 103	29.92		0	
True	255	E8	Sample 104	33.03		0	
True	255	E9	Sample 105	29.28		0	
True	255	E10	Sample 106	33.65		0	
True	255	E11	Sample 107	28.78		0	
