Experiment: 20241008_iDEC_PANCE_DAY3  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	28.80		0	
True	255	A2	Sample 2	30.13		0	
True	255	A3	Sample 3	26.87		0	
True	255	A4	Sample 4	28.26		0	
True	255	A5	Sample 5	27.60		0	
True	255	A6	Sample 6	31.03		0	
True	255	A7	Sample 7	28.65		0	
True	255	A8	Sample 8	29.52		0	
True	255	A9	Sample 9	18.87		0	
True	255	A10	Sample 10	18.77		0	
True	255	A11	Sample 11	18.95		0	
True	255	A12	Sample 12	18.87		0	
True	255	A13	Sample 13	28.96		0	
True	255	A14	Sample 14	29.77		0	
True	255	A15	Sample 15	30.00		0	
True	255	A16	Sample 16	30.35		0	
True	255	A17	Sample 17	30.46		0	
True	255	A18	Sample 18	30.05		0	
True	255	A19	Sample 19	30.50		0	
True	255	A20	Sample 20	31.67		0	
True	255	A21	Sample 21	15.30		0	
True	255	A22	Sample 22	15.17		0	
True	255	A23	Sample 23	15.18		0	
True	255	A24	Sample 24	15.22		0	
True	255	B1	Sample 25	26.45		0	
True	255	B2	Sample 26	27.68		0	
True	255	B3	Sample 27	27.83		0	
True	255	B4	Sample 28	27.08		0	
True	255	B5	Sample 29	32.72		0	
True	255	B6	Sample 30	32.96		0	
True	255	B7	Sample 31	33.00		0	
True	255	B8	Sample 32	32.72		0	
True	255	B9	Sample 33	22.27		0	
True	255	B10	Sample 34	22.59		0	
True	255	B11	Sample 35	22.63		0	
True	255	B12	Sample 36	22.66		0	
True	255	B13	Sample 37	29.62		0	
True	255	B14	Sample 38	29.55		0	
True	255	B15	Sample 39	28.66		0	
True	255	B16	Sample 40	29.60		0	
True	255	B17	Sample 41	32.64		0	
True	255	B18	Sample 42	33.12		0	
True	255	B19	Sample 43	32.57		0	
True	255	B20	Sample 44	33.01		0	
True	255	B21	Sample 45	17.48		0	
True	255	B22	Sample 46	17.71		0	
True	255	B23	Sample 47	17.14		0	
True	255	B24	Sample 48	17.41		0	
True	255	C1	Sample 49	27.26		0	
True	255	C2	Sample 50	29.90		0	
True	255	C3	Sample 51	28.01		0	
True	255	C4	Sample 52	29.85		0	
True	255	C5	Sample 53	31.03		0	
True	255	C6	Sample 54	30.92		0	
True	255	C7	Sample 55	30.75		0	
True	255	C8	Sample 56	30.95		0	
True	255	C9	Sample 57	25.54		0	
True	255	C10	Sample 58	24.46		0	
True	255	C11	Sample 59	23.30		0	
True	255	C12	Sample 60	22.77		0	
True	255	C13	Sample 61	30.84		0	
True	255	C14	Sample 62	30.72		0	
True	255	C15	Sample 63	30.08		0	
True	255	C16	Sample 64	30.84		0	
True	255	C17	Sample 65	33.45		0	
True	255	C18	Sample 66	33.05		0	
True	255	C19	Sample 67	31.62		0	
True	255	C20	Sample 68	31.07		0	
True	255	C21	Sample 69	18.87		0	
True	255	C22	Sample 70	18.82		0	
True	255	C23	Sample 71	19.76		0	
True	255	C24	Sample 72	19.87		0	
True	255	D1	Sample 73	27.43		0	
True	255	D2	Sample 74	29.52		0	
True	255	D3	Sample 75	27.84		0	
True	255	D4	Sample 76	29.54		0	
True	255	D5	Sample 77	26.87		0	
True	255	D6	Sample 78	28.59		0	
True	255	D7	Sample 79	31.87		0	
True	255	D8	Sample 80	31.64		0	
True	255	D9	Sample 81	28.22		0	
True	255	D10	Sample 82	29.35		0	
True	255	D11	Sample 83	29.06		0	
True	255	D12	Sample 84	26.54		0	
True	255	D13	Sample 85	31.58		0	
True	255	D14	Sample 86	30.27		0	
True	255	D15	Sample 87	30.49		0	
True	255	D16	Sample 88	31.24		0	
True	255	D17	Sample 89	32.34		0	
True	255	D18	Sample 90	31.88		0	
True	255	D19	Sample 91	32.32		0	
True	255	D20	Sample 92	32.46		0	
True	255	D21	Sample 93	30.44		0	
True	255	D22	Sample 94	29.97		0	
True	255	D23	Sample 95	29.92		0	
True	255	D24	Sample 96	28.52		0	
True	255	E1	Sample 97	29.69		0	
True	255	E2	Sample 98	29.87		0	
True	255	E3	Sample 99	30.18		0	
True	255	E4	Sample 100	28.21		0	
True	255	E5	Sample 101	28.64		0	
True	255	E6	Sample 102	30.73		0	
True	255	E7	Sample 103	30.43		0	
True	255	E8	Sample 104	29.18		0	
True	255	E9	Sample 105	32.87		0	
True	255	E10	Sample 106	33.06		0	
True	255	E11	Sample 107	26.61		0	
True	255	E12	Sample 108	27.85		0	
True	255	E13	Sample 109	28.80		0	
True	255	E14	Sample 110	29.63		0	
True	255	E15	Sample 111	30.80		0	
True	255	E16	Sample 112	31.23		0	
True	255	E17	Sample 113	29.14		0	
True	255	E18	Sample 114	29.43		0	
True	255	E19	Sample 115	27.26		0	
True	255	E20	Sample 116	27.58		0	
True	255	E21	Sample 117	28.09		0	
True	255	E22	Sample 118	27.56		0	
True	255	E23	Sample 119	33.28		0	
True	255	E24	Sample 120	33.30		0	
True	255	F1	Sample 121	30.33		0	
True	255	F2	Sample 122	30.23		0	
True	255	F3	Sample 123	29.34		0	
True	255	F4	Sample 124	28.75		0	
True	255	F5	Sample 125	25.59		0	
True	255	F6	Sample 126	26.12		0	
True	255	F7	Sample 127	27.61		0	
True	255	F8	Sample 128	27.05		0	
True	255	F9	Sample 129	29.75		0	
True	255	F10	Sample 130	28.59		0	
True	255	F11	Sample 131	30.25		0	
True	255	F12	Sample 132	27.56		0	
True	255	F13	Sample 133	29.78		0	
True	255	F14	Sample 134	30.93		0	
True	255	F15	Sample 135	30.74		0	
True	255	F16	Sample 136	31.33		0	
True	255	F17	Sample 137	24.02		0	
True	255	F18	Sample 138	24.09		0	
True	255	F19	Sample 139	26.20		0	
True	255	F20	Sample 140	26.23		0	
True	255	F21	Sample 141	31.78		0	
True	255	F22	Sample 142	29.65		0	
True	255	F23	Sample 143	31.78		0	
True	255	F24	Sample 144	31.46		0	
True	255	G1	Sample 145	30.67		0	
True	255	G2	Sample 146	31.23		0	
True	255	G3	Sample 147	31.70		0	
True	255	G4	Sample 148	31.69		0	
True	255	G5	Sample 149	33.32		0	
True	255	G6	Sample 150	32.93		0	
True	255	G7	Sample 151	33.17		0	
True	255	G8	Sample 152	32.70		0	
True	255	G9	Sample 153	26.22		0	
